a49320cc-c917-4b1b-bcef-ae21ce4dfe86,The Beach Boys,United States of America,Pop,63331275,2287728
58863243-2a32-00ed-1e31-1e5d9a0cee87,The Smashing Pumpkins,United States of America,Rock,117836318,2680576
e2ffceb5-a6b5-11e0-b446-00251188dd67,Pearl Jam,United States of America,Alternative/Indie,135646027,2585281
604bf50d-af45-0c7c-2992-17fab1a2a351,The Black Keys,United States of America,Alternative/Indie,122395032,2042835
ed450e3c-a6b5-11e0-b446-00251188dd67,OneRepublic,United States of America,Rock,58088224,2132143
e74f3204-a6b5-11e0-b446-00251188dd67,Wham!,England,Pop,7699077,1087686
e462f24f-a6b5-11e0-b446-00251188dd67,The Doors,United States of America,Rock,126215828,3048395
245baeb0-fbf3-d183-2d0c-c5c04af20568,Shakira,Colombia,Pop,63157348,2195405
e58afa27-a6b5-11e0-b446-00251188dd67,Phoenix,France,Alternative/Indie,74318383,1925434
9314eca9-7604-58f7-e006-2a33be828114,Pixies,United States of America,Alternative/Indie,95124473,2191918
e211bf6b-a6b5-11e0-b446-00251188dd67,Stevie Wonder,United States of America,Soul/R&B,36739015,2003156
602cdd81-c7fd-4ebd-add7-fa693d4ec698,Johnny Cash,United States of America,Country,98225191,2657365
e58ff0aa-a6b5-11e0-b446-00251188dd67,Kelly Clarkson,United States of America,Pop,59917871,2283362
e43f4e15-a6b5-11e0-b446-00251188dd67,Justin Timberlake,United States of America,Pop,67163163,2642695
1ca748e3-2946-bff9-7a89-3a41a81f6bf3,Fleet Foxes,United States of America,Alternative/Indie,62907674,1526857
55e34c90-aebd-4859-b86e-64e59758c53c,Joy Division,N\A,N\A,93952966,1852839
9515f3a8-c726-753d-2533-e22a2c0267c4,Luis Fonsi,United States of America / Latin Continuum,Latin,4138961,371161
4dcd55cb-a535-03a9-a32c-39798b65002d,The Offspring,United States of America,Alternative/Indie,117416924,2770479
e6ada278-a6b5-11e0-b446-00251188dd67,Bruce Springsteen,United States of America,Rock,73367777,2044453
03d74c61-dbb9-a933-bfbc-9e82118b70c4,Massive Attack,England,Electronica/Dance,110744149,2471473
e5cae821-a6b5-11e0-b446-00251188dd67,Franz Ferdinand,Scotland,Alternative/Indie,106960355,3068411
0f218079-f31c-4fff-821e-5d65fd607030,New Order,England,Alternative/Indie,48494119,1693275
e351c39d-a6b5-11e0-b446-00251188dd67,The Police,England,Rock,41008363,2124557
08c16f93-97bd-d522-9f91-f0056d2e6988,Martin Garrix,Netherlands,Electronica/Dance,7861894,579075
3b66a7e0-3e79-58e7-2c14-6048e2d2e5ff,G-Eazy,United States of America,Rap/Hip Hop,7178573,385351
5db86cf8-f2a3-44b3-b417-0c5b78450bd1,Shawn Mendes,Canada,Pop,10236593,427225
f0561721-a6b5-11e0-b446-00251188dd67,Future,United States of America,Rap/Hip Hop,14949603,552294
27c53725-9755-985d-8f50-eb0662aeadd7,"Tyler, the Creator",United States of America,Rap/Hip Hop,29798241,607989
cefb63c8-bf0a-1457-be63-a56fe1f29b15,St. Vincent,United States of America,Alternative/Indie,30354670,875680
ea1d280b-a6b5-11e0-b446-00251188dd67,Rage Against the Machine,United States of America,Alternative/Indie,85317037,2719013
e706cd02-a6b5-11e0-b446-00251188dd67,Creedence Clearwater Revival,United States of America,Rock,54691169,2226300
bc869bbf-2f96-7fae-e41f-4a51e70850df,Ke$ha,United States of America,Pop,80472005,2340877
8397091b-e2a2-9081-c9a9-1a4fd92b5832,Logic,United States,N\A,7103552,267225
333caa00-4211-ce3d-e60c-d07dd0d954c8,Jimi Hendrix,United States of America,Rock,66862808,2588047
e61c46cd-a6b5-11e0-b446-00251188dd67,M83,France,Electronica/Dance,78813042,1791066
e5bda2a8-a6b5-11e0-b446-00251188dd67,Aerosmith,United States of America,Rock,68023404,2763788
709467d9-6b74-9d29-3759-08bbf138ef06,Simon & Garfunkel,United States of America,Pop,58630069,2245835
e4dc3a7a-a6b5-11e0-b446-00251188dd67,LCD Soundsystem,United States of America,Pop,44449102,1526608
5169c78c-9b0c-4410-bcab-3dae61c25f82,Bastille,Germany,N\A,35651941,947370
4cf380ac-ae15-dc75-fbeb-bcc41ed95af1,Two Door Cinema Club,Northern Ireland,Alternative/Indie,61198694,1588844
251bb94c-7085-4824-92b3-38f8f4c08438,Khalid,N\A,N\A,2451747,172573
e2ddf70a-a6b5-11e0-b446-00251188dd67,Talking Heads,United States of America,Rock,42926813,1489187
e2fa2c14-a6b5-11e0-b446-00251188dd67,OutKast,United States of America,Rap/Hip Hop,44274100,2350581
e6c607f9-a6b5-11e0-b446-00251188dd67,Toto,United States of America,Pop,3077523,292792
11a00be9-39ff-5fed-d1c6-fccee7191206,Foals,England,Alternative/Indie,62070842,1348812
e2d2fa01-a6b5-11e0-b446-00251188dd67,Marilyn Manson,United States of America,Rock,115092315,2138927
2ded70b1-6e7c-c247-826e-af95baca18b5,Bon Jovi,United States of America,Rock,59939780,2216661
edfd3d6f-a6b5-11e0-b446-00251188dd67,Cage the Elephant,United States of America,Rock,24575458,1092544
4a4f6ef8-5665-3999-623b-eb795b846fe9,The Kooks,England,Alternative/Indie,106273678,2524459
3d1a9935-c94f-06b6-ecec-7357b22ad8e4,Mac DeMarco,Canada,Alternative/Indie,28652198,436397
c7bff023-b6d6-4c88-8350-1111da9382aa,Hall & Oates,N\A,Pop,13376978,1132336
