c8f890e2-d819-7c24-cd05-ce9b40581a7a,MGMT,United States of America,Alternative/Indie
0f42be04-ca86-53e9-5915-5fa8abe85683,Madonna,United States of America,Pop
f1b95409-4f2e-ba3d-50dd-a3ae030ec563,Foster the People,United States of America,Alternative/Indie
d1b9dea0-0338-c18e-fae7-7a7b91006eb3,Grizzly Bear,United States of America,Alternative/Indie
ee5a63fc-a6b5-11e0-b446-00251188dd67,Bon Iver,United States of America,Alternative/Indie
4ec8fbc7-fa14-ebb0-168d-5244d6751d72,Black Sabbath,England,Rock
a49320cc-c917-4b1b-bcef-ae21ce4dfe86,The Beach Boys,United States of America,Pop
58863243-2a32-00ed-1e31-1e5d9a0cee87,The Smashing Pumpkins,United States of America,Rock
e2ffceb5-a6b5-11e0-b446-00251188dd67,Pearl Jam,United States of America,Alternative/Indie
604bf50d-af45-0c7c-2992-17fab1a2a351,The Black Keys,United States of America,Alternative/Indie
ed450e3c-a6b5-11e0-b446-00251188dd67,OneRepublic,United States of America,Rock
e74f3204-a6b5-11e0-b446-00251188dd67,Wham!,England,Pop
e462f24f-a6b5-11e0-b446-00251188dd67,The Doors,United States of America,Rock
245baeb0-fbf3-d183-2d0c-c5c04af20568,Shakira,Colombia,Pop
e58afa27-a6b5-11e0-b446-00251188dd67,Phoenix,France,Alternative/Indie
9314eca9-7604-58f7-e006-2a33be828114,Pixies,United States of America,Alternative/Indie
e211bf6b-a6b5-11e0-b446-00251188dd67,Stevie Wonder,United States of America,Soul/R&B
602cdd81-c7fd-4ebd-add7-fa693d4ec698,Johnny Cash,United States of America,Country
e58ff0aa-a6b5-11e0-b446-00251188dd67,Kelly Clarkson,United States of America,Pop
e43f4e15-a6b5-11e0-b446-00251188dd67,Justin Timberlake,United States of America,Pop
1ca748e3-2946-bff9-7a89-3a41a81f6bf3,Fleet Foxes,United States of America,Alternative/Indie
55e34c90-aebd-4859-b86e-64e59758c53c,Joy Division,N\A,N\A
9515f3a8-c726-753d-2533-e22a2c0267c4,Luis Fonsi,United States of America / Latin Continuum,Latin
4dcd55cb-a535-03a9-a32c-39798b65002d,The Offspring,United States of America,Alternative/Indie
e6ada278-a6b5-11e0-b446-00251188dd67,Bruce Springsteen,United States of America,Rock
03d74c61-dbb9-a933-bfbc-9e82118b70c4,Massive Attack,England,Electronica/Dance
e5cae821-a6b5-11e0-b446-00251188dd67,Franz Ferdinand,Scotland,Alternative/Indie
0f218079-f31c-4fff-821e-5d65fd607030,New Order,England,Alternative/Indie
e351c39d-a6b5-11e0-b446-00251188dd67,The Police,England,Rock
08c16f93-97bd-d522-9f91-f0056d2e6988,Martin Garrix,Netherlands,Electronica/Dance
3b66a7e0-3e79-58e7-2c14-6048e2d2e5ff,G-Eazy,United States of America,Rap/Hip Hop
5db86cf8-f2a3-44b3-b417-0c5b78450bd1,Shawn Mendes,Canada,Pop
f0561721-a6b5-11e0-b446-00251188dd67,Future,United States of America,Rap/Hip Hop
27c53725-9755-985d-8f50-eb0662aeadd7,"Tyler, the Creator",United States of America,Rap/Hip Hop
cefb63c8-bf0a-1457-be63-a56fe1f29b15,St. Vincent,United States of America,Alternative/Indie
ea1d280b-a6b5-11e0-b446-00251188dd67,Rage Against the Machine,United States of America,Alternative/Indie
e706cd02-a6b5-11e0-b446-00251188dd67,Creedence Clearwater Revival,United States of America,Rock
bc869bbf-2f96-7fae-e41f-4a51e70850df,Ke$ha,United States of America,Pop
